sofifa_id;long_name;player_positions;overall;potential;age;height_cm;club_name;league_name;league_level;nationality_name;preferred_foot;short_name
203376;Virgil van Dijk;CB;89;89;29;193;Liverpool;English Premier League;1;Netherlands;Right;V. van Dijk
208722;Sadio Mane;LW;89;89;29;175;Liverpool;English Premier League;1;Senegal;Right;S. Mane
209331;Mohamed Salah Ghaly;RW;89;89;29;175;Liverpool;English Premier League;1;Egypt;Left;M. Salah
210257;Ederson Santana de Moraes;GK;89;91;27;188;Manchester City;English Premier League;1;Brazil;Left;Ederson
212622;Joshua Walter Kimmich;CDM, RB;89;90;26;177;FC Bayern Munchen;German 1. Bundesliga;1;Germany;Right;J. Kimmich
212831;Alisson Ramses Becker;GK;89;90;28;191;Liverpool;English Premier League;1;Brazil;Right;Alisson
230621;Gianluigi Donnarumma;GK;89;93;22;196;Paris Saint-Germain;French Ligue 1;1;Italy;Right;G. Donnarumma
155862;Sergio Ramos Garcia;CB;88;88;35;184;Paris Saint-Germain;French Ligue 1;1;Spain;Right;Sergio Ramos
176580;Luis Alberto Suarez Diaz;ST;88;88;34;182;Atletico de Madrid;Spain Primera Division;1;Uruguay;Right;L. Suarez
182521;Toni Kroos;CM;88;88;31;183;Real Madrid CF;Spain Primera Division;1;Germany;Right;T. Kroos
192505;Romelu Lukaku Menama;ST;88;88;28;191;Chelsea;English Premier League;1;Belgium;Left;R. Lukaku
193041;Keylor Navas Gamboa;GK;88;88;34;185;Paris Saint-Germain;French Ligue 1;1;Costa Rica;Right;K. Navas
202652;Raheem Sterling;LW, RW;88;89;26;170;Manchester City;English Premier League;1;England;Right;R. Sterling
212198;Bruno Miguel Borges Fernandes;CAM;88;89;26;179;Manchester United;English Premier League;1;Portugal;Right;Bruno Fernandes
239085;Erling Braut Haaland;ST;88;93;20;194;Borussia Dortmund;German 1. Bundesliga;1;Norway;Left;E. Haaland
153079;Sergio Leonel Aguero del Castillo;ST;87;87;33;173;FC Barcelona;Spain Primera Division;1;Argentina;Right;S. Aguero
167948;Hugo Lloris;GK;87;87;34;188;Tottenham Hotspur;English Premier League;1;France;Left;H. Lloris
177003;Luka Modric;CM;87;87;35;172;Real Madrid CF;Spain Primera Division;1;Croatia;Right;L. Modric
183898;angel Fabian Di Maria Hernandez;RW, LW;87;87;33;180;Paris Saint-Germain;French Ligue 1;1;Argentina;Left;a. Di Maria
186153;Wojciech Tomasz Szczcsny;GK;87;87;31;195;Juventus;Italian Serie A;1;Poland;Right;W. Szczcsny
189596;Thomas Muller;CAM, RM, RW;87;87;31;185;FC Bayern Munchen;German 1. Bundesliga;1;Germany;Right;T. Muller
192387;Ciro Immobile;ST;87;87;31;185;Lazio;Italian Serie A;1;Italy;Right;C. Immobile
195864;Paul Pogba;CM, LM;87;87;28;191;Manchester United;English Premier League;1;France;Right;P. Pogba
199556;Marco Verratti;CM, CAM;87;87;28;165;Paris Saint-Germain;French Ligue 1;1;Italy;Right;M. Verratti
207865;Marcos Aoas Corrêa;CB, CDM;87;90;27;183;Paris Saint-Germain;French Ligue 1;1;Brazil;Right;Marquinhos
209658;Leon Christoph Goretzka;CM, CDM;87;88;26;189;FC Bayern Munchen;German 1. Bundesliga;1;Germany;Right;L. Goretzka
211110;Paulo Bruno Exequiel Dybala;CF, CAM;87;88;27;177;Juventus;Italian Serie A;1;Argentina;Left;P. Dybala
216267;Andrew Robertson;LB;87;88;27;178;Liverpool;English Premier League;1;Scotland;Left;A. Robertson
228702;Frenkie de Jong;CM, CDM, CB;87;92;24;180;FC Barcelona;Spain Primera Division;1;Netherlands;Right;F. de Jong
231281;Trent Alexander-Arnold;RB;87;92;22;180;Liverpool;English Premier League;1;England;Right;T. Alexander-Arnold
233049;Jadon Sancho;RM, CF, LM;87;91;21;180;Manchester United;English Premier League;1;England;Right;J. Sancho
239818;Ruben dos Santos Gato Alves Dias;CB;87;91;24;187;Manchester City;English Premier League;1;Portugal;Right;Ruben Dias
138956;Giorgio Chiellini;CB;86;86;36;187;Juventus;Italian Serie A;1;Italy;Left;G. Chiellini
162835;Samir Handanovic;GK;86;86;36;193;Inter;Italian Serie A;1;Slovenia;Right;S. Handanovic
178603;Mats Hummels;CB;86;86;32;191;Borussia Dortmund;German 1. Bundesliga;1;Germany;Right;M. Hummels
189332;Jordi Alba Ramos;LB, LM;86;86;32;170;FC Barcelona;Spain Primera Division;1;Spain;Left;Jordi Alba
189509;Thiago Alcântara do Nascimento;CM, CDM;86;86;30;174;Liverpool;English Premier League;1;Spain;Right;Thiago
189511;Sergio Busquets i Burgos;CDM, CM;86;86;32;189;FC Barcelona;Spain Primera Division;1;Spain;Right;Sergio Busquets
189513;Daniel Parejo Muñoz;CM;86;86;32;182;Villarreal CF;Spain Primera Division;1;Spain;Right;Parejo
192984;Koen Casteels;GK;86;87;29;197;VfL Wolfsburg;German 1. Bundesliga;1;Belgium;Left;K. Casteels
198219;Lorenzo Insigne;LW, CF;86;86;30;163;Napoli;Italian Serie A;1;Italy;Right;L. Insigne
201024;Kalidou Koulibaly;CB;86;86;30;187;Napoli;Italian Serie A;1;Senegal;Right;K. Koulibaly
201535;Raphaël Varane;CB;86;88;28;191;Manchester United;English Premier League;1;France;Right;R. Varane
204485;Riyad Mahrez;RW, RM;86;86;30;179;Manchester City;English Premier League;1;Algeria;Left;R. Mahrez
208093;Gerard Moreno Balaguero;ST, RM, RW;86;86;29;180;Villarreal CF;Spain Primera Division;1;Spain;Left;Gerard Moreno
208830;Jamie Vardy;ST;86;86;34;179;Leicester City;English Premier League;1;England;Right;J. Vardy
209499;Fabio Henrique Tavares;CDM, CB;86;88;27;188;Liverpool;English Premier League;1;Brazil;Right;Fabinho
210514;João Pedro Cavaco Cancelo;RB, LB;86;87;27;182;Manchester City;English Premier League;1;Portugal;Right;João Cancelo
212218;Aymeric Laporte;CB;86;89;27;191;Manchester City;English Premier League;1;Spain;Left;A. Laporte
213345;Kingsley Junior Coman;LM, RM, LW;86;87;25;180;FC Bayern Munchen;German 1. Bundesliga;1;France;Right;K. Coman
218667;Bernardo Mota Veiga de Carvalho e Silva;CAM, CM, RW;86;87;26;173;Manchester City;English Premier League;1;Portugal;Left;Bernardo Silva
226161;Marcos Llorente Moreno;CM, RM, ST;86;89;26;184;Atletico de Madrid;Spain Primera Division;1;Spain;Right;Marcos Llorente
231866;Rodrigo Hernandez Cascante;CDM;86;89;25;191;Manchester City;English Premier League;1;Spain;Right;Rodri
232363;Milan Škriniar;CB;86;88;26;188;Inter;Italian Serie A;1;Slovakia;Right;M. Škriniar
143076;Alejandro Dario Gomez;CAM, CF, CM;85;85;33;167;Sevilla FC;Spain Primera Division;1;Argentina;Right;A. Gomez
163587;Kasper Peter Schmeichel;GK;85;85;34;189;Leicester City;English Premier League;1;Denmark;Right;K. Schmeichel
164240;Thiago Emiliano da Silva;CB;85;85;36;183;Chelsea;English Premier League;1;Brazil;Right;Thiago Silva
168542;David Josue Jimenez Silva;CAM, CM;85;85;35;173;Real Sociedad;Spain Primera Division;1;Spain;Left;David Silva
177683;Yann Sommer;GK;85;85;32;183;Borussia Mönchengladbach;German 1. Bundesliga;1;Switzerland;Right;Y. Sommer
179813;Edinson Roberto Cavani Gomez;ST;85;85;34;185;Manchester United;English Premier League;1;Uruguay;Right;E. Cavani
183277;Eden Hazard;LW;85;85;30;175;Real Madrid CF;Spain Primera Division;1;Belgium;Right;E. Hazard
184344;Leonardo Bonucci;CB;85;85;34;190;Juventus;Italian Serie A;1;Italy;Right;L. Bonucci
185122;Peter Gulacsi;GK;85;85;31;191;RB Leipzig;German 1. Bundesliga;1;Hungary;Right;P. Gulacsi
186942;clkay Gundocan;CM, CDM;85;85;30;180;Manchester City;English Premier League;1;Germany;Right;c. Gundocan
188350;Marco Reus;CAM, CF;85;85;32;180;Borussia Dortmund;German 1. Bundesliga;1;Germany;Right;M. Reus
188377;Kyle Walker;RB;85;85;31;183;Manchester City;English Premier League;1;England;Right;K. Walker
188567;Pierre-Emerick Emiliano François Aubameyang;ST, LW, LM;85;85;32;187;Arsenal;English Premier League;1;Gabon;Right;P. Aubameyang
193747;Jorge Resurreccion Merodio;CM, CDM;85;85;29;176;Atletico de Madrid;Spain Primera Division;1;Spain;Right;Koke
194765;Antoine Griezmann;ST, LW, RW;85;85;30;176;Atletico de Madrid;Spain Primera Division;1;France;Left;A. Griezmann
198176;Stefan de Vrij;CB;85;85;29;189;Inter;Italian Serie A;1;Netherlands;Right;S. de Vrij
201942;Roberto Firmino Barbosa de Oliveira;CF;85;85;29;181;Liverpool;English Premier League;1;Brazil;Right;Roberto Firmino
202556;Memphis Depay;CF, LW, CAM;85;86;27;176;FC Barcelona;Spain Primera Division;1;Netherlands;Right;M. Depay
204963;Daniel Carvajal Ramos;RB;85;85;29;173;Real Madrid CF;Spain Primera Division;1;Spain;Right;Carvajal
205498;Luiz Frello Filho Jorge;CM, CDM;85;85;29;180;Chelsea;English Premier League;1;Italy;Right;Jorginho
206113;Serge David Gnabry;RM, LM, RW;85;86;25;176;FC Bayern Munchen;German 1. Bundesliga;1;Germany;Right;S. Gnabry
223848;Sergej Milinkovic-Savic;CM, CDM, CAM;85;87;26;191;Lazio;Italian Serie A;1;Serbia;Right;S. Milinkovic-Savic
226790;Onyinye Wilfred Ndidi;CDM, CM;85;88;24;183;Leicester City;English Premier League;1;Nigeria;Right;W. Ndidi
230142;Mikel Oyarzabal Ugarte;LW, RW;85;89;24;181;Real Sociedad;Spain Primera Division;1;Spain;Left;Oyarzabal
231478;Lautaro Javier Martinez;ST;85;89;23;174;Inter;Italian Serie A;1;Argentina;Right;L. Martinez
231677;Marcus Rashford;LM, ST;85;89;23;186;Manchester United;English Premier League;1;England;Right;M. Rashford
235212;Achraf Hakimi Mouh;RB, RWB;85;88;22;181;Paris Saint-Germain;French Ligue 1;1;Morocco;Right;A. Hakimi
235243;Matthijs de Ligt;CB;85;90;21;189;Juventus;Italian Serie A;1;Netherlands;Right;M. de Ligt
41236;Zlatan Ibrahimovic;ST;84;84;39;195;AC Milan;Italian Serie A;1;Sweden;Right;Z. Ibrahimovic
146536;Jesus Navas Gonzalez;RB, RM;84;84;35;172;Sevilla FC;Spain Primera Division;1;Spain;Right;Jesus Navas
152729;Gerard Pique Bernabeu;CB;84;84;34;194;FC Barcelona;Spain Primera Division;1;Spain;Right;Pique
175943;Dries Mertens;CF, ST, CAM;84;84;34;169;Napoli;Italian Serie A;1;Belgium;Right;D. Mertens
181291;Georginio Wijnaldum;CM, CDM;84;84;30;175;Paris Saint-Germain;French Ligue 1;1;Netherlands;Right;G. Wijnaldum
183711;Jordan Henderson;CDM, CM;84;84;31;182;Liverpool;English Premier League;1;England;Right;J. Henderson
184134;Fernando Francisco Reges;CDM, CM;84;84;33;183;Sevilla FC;Spain Primera Division;1;Brazil;Right;Fernando
186345;Kieran Trippier;RB, RWB, RM;84;84;30;173;Atletico de Madrid;Spain Primera Division;1;England;Right;K. Trippier
192629;Iago Aspas Juncal;ST, RW;84;84;33;176;RC Celta de Vigo;Spain Primera Division;1;Spain;Left;Iago Aspas
193080;David De Gea Quintana;GK;84;84;30;192;Manchester United;English Premier League;1;Spain;Right;De Gea
197445;David Olatukunbo Alaba;CB, LB;84;84;29;180;Real Madrid CF;Spain Primera Division;1;Austria;Left;D. Alaba
198706;Luis Alberto Romero Alconchel;CAM, CM, CF;84;84;28;183;Lazio;Italian Serie A;1;Spain;Right;Luis Alberto
199434;Dušan Tadic;LW, CF, CAM;84;84;32;181;Ajax;Holland Eredivisie;1;Serbia;Left;D. Tadic
199451;Wissam Ben Yedder;ST;84;84;30;170;AS Monaco;French Ligue 1;1;France;Right;W. Ben Yedder
200458;Lucas Digne;LB;84;84;27;178;Everton;English Premier League;1;France;Left;L. Digne
200647;Josip Ilicic;CF, ST;84;84;33;190;Atalanta;Italian Serie A;1;Slovenia;Left;J. Ilicic
202811;Damian Emiliano Martinez;GK;84;85;28;195;Aston Villa;English Premier League;1;Argentina;Right;E. Martinez
203263;Harry Maguire;CB;84;86;28;194;Manchester United;English Premier League;1;England;Right;H. Maguire
204639;Stefan Savic;CB;84;84;30;187;Atletico de Madrid;Spain Primera Division;1;Montenegro;Right;S. Savic
204923;Marcel Sabitzer;CM, CDM, CAM;84;85;27;178;FC Bayern Munchen;German 1. Bundesliga;1;Austria;Right;M. Sabitzer
205988;Luke Shaw;LB;84;86;25;181;Manchester United;English Premier League;1;England;Left;L. Shaw
206517;Jack Grealish;LW, LM, CAM;84;85;25;180;Manchester City;English Premier League;1;England;Right;J. Grealish
207862;Matthias Ginter;CB;84;85;27;191;Borussia Mönchengladbach;German 1. Bundesliga;1;Germany;Right;M. Ginter
207863;Felipe Augusto de Almeida Monteiro;CB;84;84;32;190;Atletico de Madrid;Spain Primera Division;1;Brazil;Right;Felipe
208418;Yannick Ferreira Carrasco;LM, ST;84;84;27;185;Atletico de Madrid;Spain Primera Division;1;Belgium;Right;Y. Carrasco
208574;Filip Kostic;LM, LWB;84;84;28;184;Eintracht Frankfurt;German 1. Bundesliga;1;Serbia;Left;F. Kostic
208670;Hakim Ziyech;RW, CAM;84;84;28;181;Chelsea;English Premier League;1;Morocco;Left;H. Ziyech
209889;Raphaël Adelino Jose Guerreiro;LB, LM;84;84;27;170;Borussia Dortmund;German 1. Bundesliga;1;Portugal;Left;R. Guerreiro
210243;Ricardo Domingos Barbosa Pereira;RB, RM;84;84;27;175;Leicester City;English Premier League;1;Portugal;Right;Ricardo Pereira
212188;Timo Werner;ST, LW;84;87;25;180;Chelsea;English Premier League;1;Germany;Right;T. Werner
215698;Mike Maignan;GK;84;89;25;191;AC Milan;Italian Serie A;1;France;Right;M. Maignan
216352;Marcelo Brozovic;CDM, CM;84;84;28;181;Inter;Italian Serie A;1;Croatia;Right;M. Brozovic
216393;Youri Tielemans;CM, CDM;84;87;24;176;Leicester City;English Premier League;1;Belgium;Right;Y. Tielemans
216460;Jose Maria Gimenez de Vargas;CB;84;88;26;185;Atletico de Madrid;Spain Primera Division;1;Uruguay;Right;J. Gimenez
216594;Nabil Fekir;CAM, RM, ST;84;84;27;173;Real Betis Balompie;Spain Primera Division;1;France;Left;N. Fekir
222492;Leroy Aziz Sane;RM, LM;84;87;25;183;FC Bayern Munchen;German 1. Bundesliga;1;Germany;Left;L. Sane
224232;Nicolo Barella;CM;84;89;24;172;Inter;Italian Serie A;1;Italy;Right;N. Barella
224334;Marcos Javier Acuña;LB, LM;84;84;29;172;Sevilla FC;Spain Primera Division;1;Argentina;Left;M. Acuña
228941;Andre Miguel Valente da Silva;ST;84;85;25;185;RB Leipzig;German 1. Bundesliga;1;Portugal;Right;Andre Silva
230938;Franck Yannick Kessie;CDM, CM;84;86;24;183;AC Milan;Italian Serie A;1;Côte d'Ivoire;Right;F. Kessie
232656;Theo Bernard François Hernandez;LB;84;90;23;184;AC Milan;Italian Serie A;1;France;Left;T. Hernandez
235790;Kai Lukas Havertz;CAM, CF, CM;84;92;22;188;Chelsea;English Premier League;1;Germany;Left;K. Havertz
237692;Philip Foden;CAM, LW, CM;84;92;21;171;Manchester City;English Premier League;1;England;Left;P. Foden
135507;Fernando Luiz Rosa;CDM, CB;83;83;36;179;Manchester City;English Premier League;1;Brazil;Right;Fernandinho
169416;Carlos Alberto Vela Garrido;RW, LW, CAM;83;83;32;177;Los Angeles FC;USA Major League Soccer;1;Mexico;Left;C. Vela
177413;Axel Witsel;CDM, CM;83;83;32;186;Borussia Dortmund;German 1. Bundesliga;1;Belgium;Right;A. Witsel
178750;Sergio Asenjo Andres;GK;83;83;32;189;Villarreal CF;Spain Primera Division;1;Spain;Right;Sergio Asenjo
179645;Simon Thorup Kjær;CB;83;83;32;190;AC Milan;Italian Serie A;1;Denmark;Right;S. Kjær
180930;Edin Džeko;ST;83;83;35;193;Inter;Italian Serie A;1;Bosnia and Herzegovina;Right;E. Džeko
183907;Jerôme Boateng;CB;83;83;32;190;Olympique Lyonnais;French Ligue 1;1;Germany;Right;J. Boateng
184087;Toby Alderweireld;CB;83;83;32;186;;;;Belgium;Right;T. Alderweireld
184432;Cesar Azpilicueta Tanco;CB, RWB;83;83;31;178;Chelsea;English Premier League;1;Spain;Right;Azpilicueta
187961;Jose Paulo Bezzera Maciel Junior;CM, CAM, CDM;83;83;32;183;Al Ahli;Saudi Abdul L. Jameel League;1;Brazil;Right;Paulinho
189575;Iker Muniain Goñi;CAM, RM, LM;83;83;28;170;Athletic Club de Bilbao;Spain Primera Division;1;Spain;Right;Muniain
190286;Sergio Canales Madrazo;CM, CDM, LM;83;83;30;176;Real Betis Balompie;Spain Primera Division;1;Spain;Left;Canales
190941;Lukaš Hradecký;GK;83;83;31;192;Bayer 04 Leverkusen;German 1. Bundesliga;1;Finland;Right;L. Hradecký
191043;Alex Sandro Lobo Silva;LB, LM;83;83;30;180;Juventus;Italian Serie A;1;Brazil;Left;Alex Sandro
192563;Bernd Leno;GK;83;84;29;190;Arsenal;English Premier League;1;Germany;Right;B. Leno
192774;Konstantinos Manolas;CB;83;83;30;189;Napoli;Italian Serie A;1;Greece;Right;K. Manolas
192883;Henrikh Mkhitaryan;CF, RM, RW;83;83;32;177;Roma;Italian Serie A;1;Armenia;Right;H. Mkhitaryan
193082;Juan Guillermo Cuadrado Bello;RB, RM;83;83;33;179;Juventus;Italian Serie A;1;Colombia;Right;J. Cuadrado
197061;Joël Andre Job Matip;CB;83;83;29;194;Liverpool;English Premier League;1;Cameroon;Right;J. Matip
197655;Sebastian Coates Nion;CB;83;83;30;196;Sporting CP;Portuguese Liga ZON SAGRES;1;Uruguay;Right;S. Coates
199845;Francesco Acerbi;CB;83;83;33;192;Lazio;Italian Serie A;1;Italy;Left;F. Acerbi
199914;Allan Marques Loureiro;CDM, CM;83;83;30;175;Everton;English Premier League;1;Brazil;Right;Allan
200610;Kevin Volland;ST, CF;83;83;28;179;AS Monaco;French Ligue 1;1;Germany;Left;K. Volland
201153;alvaro Borja Morata Martin;ST;83;83;28;190;Juventus;Italian Serie A;1;Spain;Right;Morata
201399;Mauro Emanuel Icardi Rivero;ST;83;83;28;181;Paris Saint-Germain;French Ligue 1;1;Argentina;Right;M. Icardi
202884;Leonardo Spinazzola;LWB, LB, LM;83;83;28;186;Roma;Italian Serie A;1;Italy;Right;L. Spinazzola
203574;John Stones;CB;83;86;27;188;Manchester City;English Premier League;1;England;Right;J. Stones
203841;Nick Pope;GK;83;83;29;199;Burnley;English Premier League;1;England;Right;N. Pope
204838;Raul Alonso Jimenez Rodriguez;ST;83;83;30;188;Wolverhampton Wanderers;English Premier League;1;Mexico;Right;R. Jimenez
204935;Jordan Pickford;GK;83;85;27;185;Everton;English Premier League;1;England;Left;J. Pickford
205452;Antonio Rudiger;CB;83;84;28;190;Chelsea;English Premier League;1;Germany;Right;A. Rudiger
205632;Lucas Ariel Ocampos;LW, RW;83;83;26;188;Sevilla FC;Spain Primera Division;1;Argentina;Right;L. Ocampos
207410;Mateo Kovacic;CM, CDM;83;84;27;176;Chelsea;English Premier League;1;Croatia;Right;M. Kovacic
209989;Thomas Partey;CM, CDM;83;83;28;185;Arsenal;English Premier League;1;Ghana;Right;T. Partey
211688;Jose Luis Gaya Peña;LB, LWB, LM;83;86;26;172;Valencia CF;Spain Primera Division;1;Spain;Left;Gaya
213565;Thomas Lemar;LM, CM, RM;83;86;25;171;Atletico de Madrid;Spain Primera Division;1;France;Left;T. Lemar
213648;Pierre-Emile Kordt Højbjerg;CDM, CM;83;86;25;185;Tottenham Hotspur;English Premier League;1;Denmark;Right;P. Højbjerg
214997;angel Martin Correa;ST, RM;83;86;26;171;Atletico de Madrid;Spain Primera Division;1;Argentina;Right;a. Correa
215333;Duvan Esteban Zapata Banguera;ST;83;83;30;189;Atalanta;Italian Serie A;1;Colombia;Right;D. Zapata
216354;Andrej Kramaric;ST, CAM;83;83;30;177;TSG Hoffenheim;German 1. Bundesliga;1;Croatia;Right;A. Kramaric
220651;Jose angel Esmoris Tasende;LWB, LM;83;86;24;175;RB Leipzig;German 1. Bundesliga;1;Spain;Left;Angeliño
220814;Lucas François Bernard Hernandez Pi;LB, CB;83;86;25;184;FC Bayern Munchen;German 1. Bundesliga;1;France;Left;L. Hernandez
220834;Marco Asensio Willemsen;RW, LW;83;86;25;182;Real Madrid CF;Spain Primera Division;1;Spain;Left;Marco Asensio
223689;Wout Weghorst;ST;83;83;28;197;VfL Wolfsburg;German 1. Bundesliga;1;Netherlands;Right;W. Weghorst
223697;Robin Everardus Gosens;LWB, LB, LM;83;83;26;183;Atalanta;Italian Serie A;1;Germany;Left;R. Gosens
225193;Mikel Merino Zazon;CM;83;87;25;189;Real Sociedad;Spain Primera Division;1;Spain;Left;Merino
225850;Presnel Kimpembe;CB;83;87;25;189;Paris Saint-Germain;French Ligue 1;1;France;Left;P. Kimpembe
228618;Ferland Mendy;LB;83;86;26;180;Real Madrid CF;Spain Primera Division;1;France;Left;F. Mendy
229880;Aaron Wan-Bissaka;RB;83;87;23;183;Manchester United;English Premier League;1;England;Right;A. Wan-Bissaka
230481;Ronaldo Jailson Cabrais Petri;CAM, RM;83;83;29;177;Grêmio;Campeonato Brasileiro Serie A;1;Brazil;Right;Ronaldo Cabrais
230658;Arthur Henrique Ramos de Oliveira Melo;CM;83;85;24;171;Juventus;Italian Serie A;1;Brazil;Right;Arthur
230666;Gabriel Fernando de Jesus;ST;83;87;24;175;Manchester City;English Premier League;1;Brazil;Right;Gabriel Jesus
231443;Ousmane Dembele;RW;83;88;24;178;FC Barcelona;Spain Primera Division;1;France;Left;O. Dembele
233064;Mason Mount;CAM, CM, RW;83;89;22;178;Chelsea;English Premier League;1;England;Right;M. Mount
234642;edouard Mendy;GK;83;85;29;197;Chelsea;English Premier League;1;Senegal;Right;e. Mendy
235805;Federico Chiesa;RW, LW, RM;83;91;23;175;Juventus;Italian Serie A;1;Italy;Right;F. Chiesa
239053;Federico Santiago Valverde Dipetta;CM;83;89;22;182;Real Madrid CF;Spain Primera Division;1;Uruguay;Right;F. Valverde
241486;Jules Kounde;CB;83;89;22;181;Sevilla FC;Spain Primera Division;1;France;Right;J. Kounde
242444;João Felix Sequeira;CF, ST;83;91;21;181;Atletico de Madrid;Spain Primera Division;1;Portugal;Right;João Felix
120533;Kleper Laveran de Lima Ferreira;CB;82;82;38;188;FC Porto;Portuguese Liga ZON SAGRES;1;Portugal;Right;Pepe
157481;Raul Albiol Tortajada;CB;82;82;35;190;Villarreal CF;Spain Primera Division;1;Spain;Right;Raul Albiol
164835;cukasz Fabiacski;GK;82;82;36;190;West Ham United;English Premier League;1;Poland;Right;c. Fabiacski
168435;Salvatore Sirigu;GK;82;82;34;192;Genoa;Italian Serie A;1;Italy;Right;S. Sirigu
168651;Ivan Rakitic;CM;82;82;33;184;Sevilla FC;Spain Primera Division;1;Croatia;Right;I. Rakitic
173731;Gareth Frank Bale;RM, RW;82;82;31;185;Real Madrid CF;Spain Primera Division;1;Wales;Left;G. Bale
178005;Rui Pedro dos Santos Patricio;GK;82;82;33;190;Roma;Italian Serie A;1;Portugal;Left;Rui Patricio
178562;ever Maximiliano David Banega;CDM, CM;82;82;33;174;Al Shabab;Saudi Abdul L. Jameel League;1;Argentina;Right;e. Banega
180206;Miralem Pjanic;CM;82;82;31;178;Beciktac JK;Turkish Super Lig;1;Bosnia and Herzegovina;Right;M. Pjanic
183512;Yuri Berchiche Izeta;LB;82;82;31;181;Athletic Club de Bilbao;Spain Primera Division;1;Spain;Left;Yuri Berchiche
187072;Lars Edi Stindl;CAM, ST;82;82;32;181;Borussia Mönchengladbach;German 1. Bundesliga;1;Germany;Right;L. Stindl
188152;Oscar dos Santos Emboaba Junior;CAM, CM, LW;82;82;29;179;Shanghai Port FC;Chinese Super League;1;Brazil;Right;Oscar
188943;Kevin Trapp;GK;82;82;30;189;Eintracht Frankfurt;German 1. Bundesliga;1;Germany;Right;K. Trapp
189242;Philippe Coutinho Correia;CAM, LW, CM;82;82;29;172;FC Barcelona;Spain Primera Division;1;Brazil;Right;Coutinho
190460;Christian Dannemann Eriksen;CM, CAM;82;82;29;181;Inter;Italian Serie A;1;Denmark;Right;C. Eriksen
190815;Daley Blind;CB, CDM, LB;82;82;31;180;Ajax;Holland Eredivisie;1;Netherlands;Left;D. Blind
192318;Mario Götze;CAM, CM;82;82;29;177;PSV;Holland Eredivisie;1;Germany;Right;M. Götze
193105;Alphonse Areola;GK;82;84;28;195;West Ham United;English Premier League;1;France;Right;A. Areola
193165;Jesus Manuel Corona Ruiz;RM, RB, RW;82;82;28;173;FC Porto;Portuguese Liga ZON SAGRES;1;Mexico;Right;J. Corona
193301;Alexandre Lacazette;ST;82;82;30;175;Arsenal;English Premier League;1;France;Right;A. Lacazette
193474;Idrissa Gana Gueye;CDM, CM;82;82;31;174;Paris Saint-Germain;French Ligue 1;1;Senegal;Right;I. Gueye
193525;Mario Figueira Fernandes;RB;82;82;30;187;PFC CSKA Moscow;Russian Premier League;1;Russia;Right;Mario Fernandes
193698;Oliver Baumann;GK;82;82;31;187;TSG Hoffenheim;German 1. Bundesliga;1;Germany;Right;O. Baumann
194404;Norberto Murara Neto;GK;82;82;31;190;FC Barcelona;Spain Primera Division;1;Brazil;Right;Neto
197781;Francisco Roman Alarcon Suarez;CAM, CM, LW;82;82;29;176;Real Madrid CF;Spain Primera Division;1;Spain;Right;Isco
198717;Wilfried Zaha;CF, LM, ST;82;82;28;180;Crystal Palace;English Premier League;1;Côte d'Ivoire;Right;W. Zaha
199110;Luis Fernando Muriel Fruto;ST;82;82;30;179;Atalanta;Italian Serie A;1;Colombia;Right;L. Muriel
199482;Anthony Lopes;GK;82;83;30;184;Olympique Lyonnais;French Ligue 1;1;Portugal;Left;A. Lopes
